Time (s), df/f, epoch
3.2848, -0.0173, 1
3.2948, -0.0172, 1
3.3048, -0.0178, 1
3.3148, -0.0165, 1
3.3248, -0.0160, 1
3.3348, -0.0160, 1
3.3448, -0.0142, 1
3.3548, -0.0122, 1
3.3648, -0.0131, 1
3.3748, -0.0161, 1
3.3848, -0.0177, 1
3.3948, -0.0171, 1
3.4048, -0.0160, 1
3.4148, -0.0146, 1
3.4248, -0.0126, 1
3.4348, -0.0126, 1
3.4448, -0.0151, 1
3.4548, -0.0172, 1
3.4648, -0.0170, 1
3.4748, -0.0149, 1
3.4848, -0.0133, 1
3.4948, -0.0114, 1
3.5048, -0.0104, 1
3.5148, -0.0118, 1
3.5248, -0.0157, 1
3.5348, -0.0163, 1
3.5448, -0.0160, 1
3.5548, -0.0157, 1
3.5648, -0.0179, 1
3.5748, -0.0187, 1
3.5848, -0.0209, 1
3.5948, -0.0226, 1
3.6048, -0.0225, 1
3.6148, -0.0183, 1
3.6248, -0.0159, 1
3.6348, -0.0163, 1
3.6448, -0.0187, 1
3.6548, -0.0221, 1
3.6648, -0.0256, 1
3.6748, -0.0259, 1
3.6848, -0.0213, 1
3.6948, -0.0157, 1
3.7048, -0.0137, 1
3.7148, -0.0156, 1
3.7248, -0.0176, 1
3.7348, -0.0192, 1
3.7448, -0.0187, 1
3.7548, -0.0161, 1
3.7648, -0.0128, 1
3.7748, -0.0142, 1
3.7848, -0.0180, 1
3.7948, -0.0202, 1
3.8048, -0.0194, 1
3.8148, -0.0173, 1
3.8248, -0.0151, 1
3.8348, -0.0122, 1
3.8448, -0.0118, 1
3.8548, -0.0143, 1
3.8648, -0.0142, 1
3.8748, -0.0116, 1
3.8848, -0.0112, 1
3.8948, -0.0134, 1
3.9048, -0.0161, 1
3.9148, -0.0174, 1
3.9248, -0.0178, 1
3.9348, -0.0163, 1
3.9448, -0.0120, 1
3.9548, -0.0087, 1
3.9648, -0.0082, 1
3.9748, -0.0093, 1
3.9848, -0.0108, 1
3.9948, -0.0126, 1
4.0048, -0.0139, 1
4.0148, -0.0125, 1
4.0248, -0.0102, 1
4.0348, -0.0108, 1
4.0448, -0.0130, 1
4.0548, -0.0147, 1
4.0648, -0.0145, 1
4.0748, -0.0135, 1
4.0848, -0.0121, 1
4.0948, -0.0102, 1
4.1048, -0.0082, 1
4.1148, -0.0099, 1
4.1248, -0.0093, 1
4.1348, -0.0093, 1
4.1448, -0.0092, 1
4.1548, -0.0101, 1
4.1648, -0.0092, 1
4.1748, -0.0076, 1
4.1848, -0.0066, 1
4.1948, -0.0078, 1
4.2048, -0.0079, 1
4.2148, -0.0097, 1
4.2248, -0.0122, 1
4.2348, -0.0128, 1
4.2448, -0.0111, 1
4.2548, -0.0106, 1
4.2648, -0.0118, 1
4.2748, -0.0115, 1
4.2848, -0.0090, 1
4.2948, -0.0072, 1
4.3048, -0.0080, 1
4.3148, -0.0089, 1
4.3248, -0.0106, 1
4.3348, -0.0139, 1
4.3448, -0.0161, 1
4.3548, -0.0139, 1
4.3648, -0.0117, 1
4.3748, -0.0119, 1
4.3848, -0.0133, 1
4.3948, -0.0156, 1
4.4048, -0.0184, 1
4.4148, -0.0201, 1
4.4248, -0.0199, 1
4.4348, -0.0172, 1
4.4448, -0.0167, 1
4.4548, -0.0163, 1
4.4648, -0.0140, 1
4.4748, -0.0124, 1
4.4848, -0.0129, 1
4.4948, -0.0124, 1
4.5048, -0.0110, 1
4.5148, -0.0098, 1
4.5248, -0.0102, 1
4.5348, -0.0102, 1
4.5448, -0.0083, 1
4.5548, -0.0064, 1
4.5648, -0.0052, 1
4.5748, -0.0048, 1
4.5848, -0.0050, 1
4.5948, -0.0072, 1
4.6048, -0.0092, 1
4.6148, -0.0086, 1
4.6248, -0.0086, 1
4.6348, -0.0102, 1
4.6448, -0.0127, 1
4.6548, -0.0136, 1
4.6648, -0.0149, 1
4.6748, -0.0159, 1
4.6848, -0.0163, 1
4.6948, -0.0138, 1
4.7048, -0.0144, 1
4.7148, -0.0145, 1
4.7248, -0.0130, 1
4.7348, -0.0125, 1
4.7448, -0.0123, 1
4.7548, -0.0116, 1
4.7648, -0.0108, 1
4.7748, -0.0114, 1
4.7848, -0.0148, 1
4.7948, -0.0158, 1
4.8048, -0.0138, 1
4.8148, -0.0110, 1
4.8248, -0.0096, 1
4.8348, -0.0096, 1
4.8448, -0.0120, 1
4.8548, -0.0160, 1
4.8648, -0.0174, 1
4.8748, -0.0155, 1
4.8848, -0.0118, 1
4.8948, -0.0094, 1
4.9048, -0.0074, 1
4.9148, -0.0053, 1
4.9248, -0.0048, 1
4.9348, -0.0064, 1
4.9448, -0.0057, 1
4.9548, -0.0047, 1
4.9648, -0.0048, 1
4.9748, -0.0062, 1
4.9848, -0.0071, 1
4.9948, -0.0081, 1
5.0048, -0.0092, 1
5.0148, -0.0090, 1
5.0248, -0.0047, 1
5.0348, -0.0028, 1
5.0448, -0.0038, 1
5.0548, -0.0048, 1
5.0648, -0.0065, 1
5.0748, -0.0077, 1
5.0848, -0.0073, 1
5.0948, -0.0037, 1
5.1048, -0.0011, 1
5.1148, -0.0016, 1
5.1248, -0.0032, 1
5.1348, -0.0036, 1
5.1448, -0.0029, 1
5.1548, -0.0025, 1
5.1648, -0.0021, 1
5.1748, -0.0023, 1
5.1848, -0.0054, 1
5.1948, -0.0089, 1
5.2048, -0.0083, 1
5.2148, -0.0050, 1
5.2248, -0.0027, 1
5.2348, -0.0037, 1
5.2448, -0.0059, 1
5.2548, -0.0094, 1
5.2648, -0.0124, 1
5.2748, -0.0133, 1
5.2848, -0.0095, 1
5.2948, -0.0076, 1
5.3048, -0.0072, 1
5.3148, -0.0079, 1
5.3248, -0.0080, 1
5.3348, -0.0098, 1
5.3448, -0.0117, 1
5.3548, -0.0116, 1
5.3648, -0.0102, 1
5.3748, -0.0103, 1
5.3848, -0.0098, 1
5.3948, -0.0080, 1
5.4048, -0.0073, 1
5.4148, -0.0089, 1
5.4248, -0.0103, 1
5.4348, -0.0108, 1
5.4448, -0.0130, 1
5.4548, -0.0146, 1
5.4648, -0.0141, 1
5.4748, -0.0105, 1
5.4848, -0.0078, 1
5.4948, -0.0072, 1
5.5048, -0.0077, 1
5.5148, -0.0087, 1
5.5248, -0.0120, 1
5.5348, -0.0134, 1
5.5448, -0.0128, 1
5.5548, -0.0114, 1
5.5648, -0.0120, 1
5.5748, -0.0120, 1
5.5848, -0.0131, 1
5.5948, -0.0153, 1
5.6048, -0.0168, 1
5.6148, -0.0157, 1
5.6248, -0.0136, 1
5.6348, -0.0131, 1
5.6448, -0.0146, 1
5.6548, -0.0160, 1
5.6648, -0.0170, 1
5.6748, -0.0188, 1
5.6848, -0.0179, 1
5.6948, -0.0157, 1
5.7048, -0.0139, 1
5.7148, -0.0136, 1
5.7248, -0.0144, 1
5.7348, -0.0159, 1
5.7448, -0.0177, 1
5.7548, -0.0189, 1
5.7648, -0.0183, 1
5.7748, -0.0179, 1
5.7848, -0.0197, 1
5.7948, -0.0198, 1
5.8048, -0.0168, 1
5.8148, -0.0119, 1
5.8248, -0.0078, 1
5.8348, -0.0043, 1
5.8448, -0.0035, 1
5.8548, -0.0056, 1
5.8648, -0.0077, 1
5.8748, -0.0058, 1
5.8848, -0.0038, 1
5.8948, -0.0043, 1
5.9048, -0.0066, 1
5.9148, -0.0070, 1
5.9248, -0.0074, 1
5.9348, -0.0086, 1
5.9448, -0.0071, 1
5.9548, -0.0048, 1
5.9648, -0.0042, 1
5.9748, -0.0049, 1
5.9848, -0.0053, 1
5.9948, -0.0051, 1
6.0048, -0.0068, 1
6.0148, -0.0071, 1
6.0248, -0.0045, 1
6.0348, -0.0026, 1
6.0448, -0.0027, 1
6.0548, -0.0036, 1
6.0648, -0.0036, 1
6.0748, -0.0046, 1
6.0848, -0.0064, 1
6.0948, -0.0059, 1
6.1048, -0.0038, 1
6.1148, -0.0049, 1
6.1248, -0.0068, 1
6.1348, -0.0077, 1
6.1448, -0.0063, 1
6.1548, -0.0053, 1
6.1648, -0.0052, 1
6.1748, -0.0042, 1
6.1848, -0.0050, 1
6.1948, -0.0075, 1
6.2048, -0.0090, 1
6.2148, -0.0070, 1
6.2248, -0.0063, 1
6.2348, -0.0065, 1
6.2448, -0.0065, 1
6.2548, -0.0062, 1
6.2648, -0.0077, 1
6.2748, -0.0091, 1
6.2848, -0.0090, 1
6.2948, -0.0082, 1
6.3048, -0.0087, 1
6.3148, -0.0090, 1
6.3248, -0.0083, 1
6.3348, -0.0082, 1
6.3448, -0.0093, 1
6.3548, -0.0093, 1
6.3648, -0.0081, 1
6.3748, -0.0084, 1
6.3848, -0.0097, 1
6.3948, -0.0104, 1
6.4048, -0.0114, 1
6.4148, -0.0127, 1
6.4248, -0.0131, 1
6.4348, -0.0120, 1
6.4448, -0.0115, 1
6.4548, -0.0145, 1
6.4648, -0.0154, 1
6.4748, -0.0144, 1
6.4848, -0.0120, 1
6.4948, -0.0098, 1
6.5048, -0.0076, 1
6.5148, -0.0076, 1
6.5248, -0.0102, 1
6.5348, -0.0127, 1
6.5448, -0.0139, 1
6.5548, -0.0138, 1
6.5648, -0.0147, 1
6.5748, -0.0145, 1
6.5848, -0.0134, 1
6.5948, -0.0136, 1
6.6048, -0.0141, 1
6.6148, -0.0121, 1
6.6248, -0.0088, 1
6.6348, -0.0062, 1
6.6448, -0.0063, 1
6.6548, -0.0078, 1
6.6648, -0.0098, 1
6.6748, -0.0114, 1
6.6848, -0.0122, 1
6.6948, -0.0102, 1
6.7048, -0.0089, 1
6.7148, -0.0087, 1
6.7248, -0.0098, 1
6.7348, -0.0105, 1
6.7448, -0.0129, 1
6.7548, -0.0155, 1
6.7648, -0.0147, 1
6.7748, -0.0129, 1
6.7848, -0.0128, 1
6.7948, -0.0140, 1
6.8048, -0.0130, 1
6.8148, -0.0115, 1
6.8248, -0.0103, 1
6.8348, -0.0092, 1
6.8448, -0.0081, 1
6.8548, -0.0092, 1
6.8648, -0.0106, 1
6.8748, -0.0110, 1
6.8848, -0.0105, 1
6.8948, -0.0106, 1
6.9048, -0.0102, 1
6.9148, -0.0091, 1
6.9248, -0.0079, 1
6.9348, -0.0084, 1
6.9448, -0.0101, 1
6.9548, -0.0104, 1
6.9648, -0.0122, 1
6.9748, -0.0151, 1
6.9848, -0.0174, 1
6.9948, -0.0184, 1
7.0048, -0.0193, 1
7.0148, -0.0187, 1
7.0248, -0.0158, 1
7.0348, -0.0119, 1
7.0448, -0.0123, 1
7.0548, -0.0154, 1
7.0648, -0.0175, 1
7.0748, -0.0196, 1
7.0848, -0.0197, 1
7.0948, -0.0173, 1
7.1048, -0.0156, 1
7.1148, -0.0158, 1
7.1248, -0.0183, 1
7.1348, -0.0194, 1
7.1448, -0.0179, 1
7.1548, -0.0169, 1
7.1648, -0.0166, 1
7.1748, -0.0164, 1
7.1848, -0.0156, 1
7.1948, -0.0174, 1
7.2048, -0.0184, 1
7.2148, -0.0177, 1
7.2248, -0.0166, 1
7.2348, -0.0161, 1
7.2448, -0.0150, 1
7.2548, -0.0141, 1
7.2648, -0.0135, 1
7.2748, -0.0142, 1
7.2848, -0.0131, 1
7.2948, -0.0106, 1
7.3048, -0.0090, 1
7.3148, -0.0092, 1
7.3248, -0.0095, 1
7.3348, -0.0114, 1
7.3448, -0.0145, 1
7.3548, -0.0144, 1
7.3648, -0.0124, 1
7.3748, -0.0110, 1
7.3848, -0.0115, 1
7.3948, -0.0118, 1
7.4048, -0.0116, 1
7.4148, -0.0126, 1
7.4248, -0.0138, 1
7.4348, -0.0131, 1
7.4448, -0.0125, 1
7.4548, -0.0133, 1
7.4648, -0.0153, 1
7.4748, -0.0162, 1
7.4848, -0.0171, 1
7.4948, -0.0163, 1
7.5048, -0.0134, 1
7.5148, -0.0107, 1
7.5248, -0.0107, 1
7.5348, -0.0122, 1
7.5448, -0.0108, 1
7.5548, -0.0083, 1
