Time, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100
1,-62383.92,-129464.4,-47817.86,-101340.8,-109776,-66262.12,-112426.2,4304.362,-144698.9,-39743.51,-111775.6,-70880.32,-127301.4,-103291.8,-129619.9,-145962.6,-142976.5,-138658.1,-94293.24,-110739.8,-162992.2,-94030.14,-141270.4,-25480.91,-133240.7,-19554.99,-163043.8,-72635.41,-118657.2,-165501.6,-1841.613,-36196.8,-25885.93,-139253.3,-72328.31,-129828.9,6297.73,-68264.2,-48817.07,28801.88,-87966.38,-28040.95,-31079.71,-72630.49,-166005.3,-110602.7,-141398.8,-149743.2,-147817.3,-109022.9,-121567.8
1.05,-67755.8,-115809.9,-22586.4,-106228.2,-97441.05,-70031.99,-122334.4,7208.374,-117680.5,-26797.79,-115188,-60237.99,-115143.9,-102355.2,-114663.7,-143937.4,-142021.9,-142575.3,-82907.95,-104490.8,-138788.9,-66096.93,-144689.8,-24918.79,-122922,-41371.08,-143012,-71262.45,-132371.1,-172405.9,-6947.351,-41451.47,-47626.99,-142723.9,-55538.22,-127353,13564.53,-70113.44,-51968.66,10894.39,-74001.91,-32552.08,-26673.44,-68013.55,-153979.7,-107018.7,-146174.5,-149023.4,-148925,-116097.4,-120068.5
1.1,-73538.8,-120019,-24543.72,-92087.27,-98387.11,-66808.5,-120330.8,26578.26,-132485.9,-18221.75,-135063.3,-47832.93,-130228.4,-97540.02,-115817.3,-144527.2,-125766.9,-150540.7,-83505.67,-104747.7,-140113.1,-101549.8,-137133.5,-15337.08,-128489.4,-29791.97,-159894.4,-67349.63,-113901.7,-161162.9,-11676.75,-41512.35,-54240.42,-136768.8,-57347.33,-147726.2,-5599.392,-81848.59,-44792.46,20022.93,-66593.86,-16169.78,-15329.79,-77821.37,-151308.3,-111350.5,-156456.9,-145293.7,-136977,-105735.3,-112664
1.15,-44559.24,-144567.7,-7330.479,-91423.83,-100602.9,-78255.56,-133502.7,8106.052,-128692.2,-19316.62,-116688.8,-65565.02,-111911.5,-90787.68,-122055.5,-145318.4,-144404.8,-138744.4,-90403.72,-101699.8,-157863.3,-99638.62,-127905.1,-10285.57,-121299.4,-24650.16,-167999.6,-58544.25,-114613.5,-164288.1,-9728.232,-43039.57,-28671.13,-127477.4,-47643.81,-148339.1,7131.289,-79829.79,-41285.21,25370.77,-76400.64,-18133.5,-8593.905,-82342.27,-159518.7,-108360.1,-156259,-145210.8,-135923.7,-118716.5,-108862.2
1.2,-64224.26,-125189.7,1950.212,-88308.62,-102881.6,-60811.18,-108573.2,21320.2,-116953.7,-18311.4,-96758.96,-58720.39,-123272.1,-110335.3,-113476,-128812.8,-93110,-144321,-83372.66,-125830.4,-124954,-83706.9,-112717.3,-11174.33,-108384.4,-39039.87,-130153.3,-61274.89,-121937,-157763,-15353.88,-49355.8,-44425.06,-110012.7,-39460.91,-132220.7,-14761.2,-67495.37,-15159.84,14506.4,-66898.13,-34077.68,6463.591,-56160.3,-130389.8,-120827.1,-148062.7,-136847.1,-132656.5,-110466.1,-122677.6
1.25,-57944.77,-122591.1,-9271.719,-88197.32,-89620.39,-53110.38,-110205.7,22602.47,-118549.2,-11896.87,-92566.68,-57717.49,-93812.36,-99541.95,-118129.8,-133852.6,-123328.1,-147116.7,-84139.46,-113091.6,-136395,-87754.13,-111096.5,-6001.558,-97521.68,-14332.25,-138457,-50284.31,-117589.7,-143796.1,-8245.887,-29296.13,-26834.06,-120220.2,-46328.72,-109023.1,-7966.879,-63746.68,-34205.54,15307.41,-87745.55,-10859.71,-7515.272,-60520.64,-142404.3,-105565.1,-127708.6,-113074.9,-127646.8,-101069.8,-125508.8
1.3,-78383.19,-126324.9,20885.42,-63725.92,-87268.95,-48414.77,-91800.71,14218.26,-108880.3,-18073.02,-98168.74,-53360.29,-89811.97,-108480.1,-103202.2,-104987.7,-100491.8,-141137.5,-79955.08,-112143.5,-109609,-94290.21,-114417.9,-954.7188,-104413.8,-31824.87,-128405.3,-69953.34,-96078.66,-122445.1,1663.099,-25626.67,-24012.12,-97725.62,-46178.79,-128077.8,-1289.575,-56453.25,-34949.17,13913.67,-61248.25,-17646.64,4360.685,-54318.23,-121131.1,-114676.1,-135584.3,-112325.4,-128309.4,-99203.09,-112845.6
1.35,-81120.59,-113687.6,-8544.322,-72239.99,-87312.23,-49811.54,-79436.63,18452.26,-115035.2,-31762.07,-74202.23,-66743.89,-85928.12,-102008.7,-75719.17,-108072.8,-98501.17,-121429.5,-73500.8,-96168.6,-120781.9,-94869.07,-89381.13,-27761.83,-115258.2,-14401.24,-126603.5,-51541.65,-87021.8,-97890.31,-7001.323,-16174.71,-11757.42,-106887.8,-38837.65,-116684.8,11010.24,-50414.02,-23924.33,30918.9,-55182.36,-13621.06,18772.58,-56013.84,-132410.8,-98171.42,-137372.1,-91913.74,-114563.4,-99433.82,-96965.24
1.4,-71389.51,-125797.9,4677.061,-51065.98,-78531.2,-62454.51,-65794.89,26548.55,-110847.3,-25701,-61131.46,-75010.74,-61829.07,-78888.02,-65771.52,-84647.28,-94107.91,-125771.4,-67993.63,-67963.45,-97451.8,-82052.9,-86987.12,-10538.6,-116401.9,-31634.35,-125051.4,-47422.21,-95549.98,-98194.53,24082.58,-9605.664,-4579.388,-66801.03,-37412.29,-101226.4,10565.19,-36368.52,-10317,18809.98,-65016.75,-11109.35,19885.34,-48121.92,-123727,-99392.34,-107677.6,-85602.16,-118951.6,-91776.94,-100384.6
1.45,-70013.12,-108631.1,10975.17,-35807.9,-87638.95,-47814.59,-72136.47,-8115.471,-100591.8,-31323.42,-70769.98,-43866.34,-76305.78,-67105.62,-91518.42,-79862.86,-95277.15,-109910.8,-89556.34,-71650.03,-80261.96,-83241.5,-100793,-30505.68,-98519.18,-30577.94,-121831.7,-69346.04,-91865.09,-91944.94,-8384.297,3450.628,-27483.27,-82816.2,-32637.21,-97963.77,30274.69,-29646.54,-21114.73,19608.49,-60912.21,-14013.87,11207.2,-52107.93,-119108.7,-79535.59,-107715.8,-78096.3,-107035.3,-97011.33,-90537.09
1.5,-58826.92,-101880.8,-9624.903,-56982.41,-97141.8,-53655,-76943.9,8825.971,-92220.1,-27261.83,-68518.88,-50139.75,-56862.06,-60698.7,-95617.72,-60293.21,-91995.87,-104110.4,-84260.11,-75910.13,-72475.24,-110128.5,-86275.78,-11149.68,-81867.55,-35834.47,-131437.7,-84031.23,-90609.45,-98212.95,-2998.373,-17501.88,-3842.458,-90038.21,7658.536,-105045.8,42931.85,-30097.62,-50082.7,19745.36,-40969.02,-5620.295,14654.75,-49060.49,-126451.4,-80971.94,-81977.8,-56541.61,-104676.1,-80380.66,-89663.72
1.55,-64988.34,-101963.8,-3781.301,-64736.21,-83370.23,-56146.37,-66750.96,5788.747,-99023.91,-25901.21,-62315.01,-53079.56,-69751.6,-79381.88,-95294.41,-74939.6,-89633.76,-100059.4,-84254.93,-62438.55,-60430.7,-93497.1,-80496.05,-15244.19,-94374.2,-39423.32,-138917.2,-41046.97,-92025.06,-102764.7,2569.919,-7822.166,-12992.64,-83930.87,-16990.38,-95798.47,26398.9,-31792.44,-34674.29,22440.72,-26810.35,-10714.79,7580.359,-47539.69,-118368.6,-86507.88,-106562,-54767.82,-119620.1,-87802.65,-69470.98
1.6,-47203.17,-99840.29,4732.524,-37204.85,-91913.69,-45117.71,-68469.07,846.1234,-91293.43,-35366.51,-64126.32,-66195.13,-59440.92,-45368.25,-97313.01,-47419.06,-92718.77,-109804.8,-69875.41,-73639.72,-87004.31,-60384.04,-75991.18,-25246.97,-79634.5,-25614.78,-125629.6,-56663.79,-107044.4,-91710.67,-3364.949,-13163.55,-21026.81,-77429.01,-7876.388,-82049.39,24113.12,-54411.4,-38756.17,36640.73,-25166.22,11706.13,21410.13,-57677.12,-113270,-83473.23,-78545.29,-41012.08,-102984.9,-65945.63,-82581.71
1.65,-42462.3,-79011.06,19864.54,-49795.19,-77805.28,-55265.48,-48556.92,-236.5235,-75147.74,-26749.25,-55370.68,-49007.5,-54534.43,-61490.45,-98048.96,-46975.97,-78366.36,-91391.2,-61785.77,-61808.76,-66253.14,-51791.81,-52781.67,-16011.08,-71538.66,-31325.09,-113208.2,-62923.82,-95760.41,-77264.36,-76.31618,-11050.59,-16621.22,-56141.86,-892.449,-59650.28,35908.93,-40506.46,-25903.5,38292.69,-22556.62,8421.216,8302.176,-40072.39,-101592.7,-57569.82,-68784.41,-31758.89,-104144.7,-59000.91,-47720.08
1.7,-45782.23,-66914.1,5426.632,-53516.66,-77022.95,-47341.63,-61540.58,-5067.811,-74198.3,-20560.24,-47319.57,-41977.47,-72149.15,-61450.63,-90152.38,-46016.06,-89337.3,-90741.47,-75757.51,-55435.46,-55330.62,-57340.44,-73069.77,-39830.82,-69580.03,-6765.105,-95342.59,-54549.92,-99178.04,-92812.57,11633.63,-15433.48,-26496.88,-67626.97,16822.01,-74942.82,41712.29,-47729.12,-14469.94,10091.37,-40679.55,391.3323,16814.12,-39599.85,-98068.97,-83266.28,-81164.42,-31424.84,-84173.61,-62769.14,-60857.92
1.75,-45544.64,-81463.55,7325.195,-4422.585,-66320.2,-33204.39,-26267.61,-42119.96,-80760.59,-55134.33,-50062.5,-34015.13,-82338.44,-66968.45,-99222.44,-56006.89,-76535.73,-81721.38,-45157.98,-44241.7,-78865.83,-63261.68,-82456.53,-30763.14,-63561.7,-8889.92,-86264.38,-55320.63,-42082.43,-56938.96,-35393.23,6867.437,4569.47,-51159.08,8321.565,-76118.5,11981.98,-36869.5,-40366.76,24138.9,-39274.06,32379.53,-21639.88,-31532.44,-85710.91,-94256.46,-40655.7,-8273.037,-80583.96,-61103.13,-63550.56
1.8,-36369.76,-84835.13,-23570.28,-32552.34,-67265.96,-52564.28,-44025.23,-34279.07,-63593.39,-32085.13,-59641.48,-42876.86,-75360.4,-66423.43,-83967.63,-69523.56,-75498.13,-83456.38,-74186.72,-29087.47,-73847.95,-59016.63,-82557.68,-38209.75,-60461.26,-39229.9,-106476,-22797.73,-60297.59,-72047.02,-24138.16,-28065.79,-66222.92,-66493.63,10139.25,-70810.83,32632.03,-71537.09,-40809.06,16134.88,-33315.43,19989.13,-22562.77,-43621.1,-79600.2,-89439.04,-65183.99,-17766.64,-63708.63,-63164.35,-48090.24
1.85,-35203.56,-65789.03,-750.5388,-28066.29,-70343.51,-46018.04,-43097.2,-10274.15,-59490.8,-23607.89,-45662.68,-52632.32,-81210.15,-69407.52,-74531.09,-61455.68,-85910.79,-94261.67,-65997.98,-46950,-66045.59,-60375.34,-60905.02,-21033.79,-79970.97,-27469.15,-82539.09,-53617.98,-75171.03,-53394.57,-32613.77,-42256.36,-9294.545,-63174.24,3726.079,-77091.52,26165.8,-46168.3,-34418.85,8043.993,-45745.59,6440.323,-14751.47,-20641.72,-80316.94,-83223.23,-55220.17,-49016.08,-57465.15,-41300.3,-63703.53
1.9,-20371.21,-43948.9,9374.691,-52902.22,-66434.91,-38034.89,-43559.86,-31678.93,-46987.23,-29218.08,-54271.27,-27895.38,-47375.89,-75117.16,-84937.3,-61514.09,-86078.47,-84973.68,-77781.17,-27720.46,-61578.86,-38976.81,-90546.19,-22779.78,-74279.23,-1398.763,-95372.37,-43799.77,-63605.08,-52163.45,-4114.155,-40643.55,-20731.44,-71644.05,16204.31,-54824.54,16569.83,-57459.3,-38931.37,-2109.06,-6485.529,10768.25,-25833.45,-34368.73,-63866.09,-82774.84,-36332.74,-31954.47,-49750.97,-26105.25,-36904.3
1.95,-11147.96,-44630.98,22162.13,-42360.54,-50458.16,-44576.05,-26113.99,-17743.45,-42885.39,-34256.11,-36148.11,-20603.14,-63751.94,-55317.45,-73680.92,-65872.98,-94397.6,-74600.19,-78835.55,-14069.13,-39543.39,-23506.38,-64295.8,-37385.72,-53569.05,-13670.04,-54457.57,-49261.51,-45494.95,-43734.39,-4609.59,-21618.21,-4828.103,-56184.28,44449.87,-66631.46,43150.66,-47854.03,-42197.72,12108.04,-10647.39,33053.05,-25848.76,12448.95,-64902.07,-91273.46,-55270.06,-28355.68,-41368.93,-33369.23,-24391.85
2,10052.33,-36748.34,24006.54,-11540.38,-41699.91,-31688.81,-11873.4,-11231.55,-48321.57,-43527.59,6774.645,-1307.796,-46326.79,-41169.21,-59710.89,-22364.13,-44766.69,-52322.66,-70532.11,-269.1678,-31290.56,9831.866,-33368.29,-32526.94,-31805.37,-9144.189,-24354.47,-33428.01,-39305.2,-11056.56,8811.629,-11534.68,17073.56,-35689.46,48200.71,-49691.23,46874.13,888.6096,-6640.257,18062.91,8916.269,55371.1,-35546.85,23238.36,-32671.23,-70701.27,-20785.93,-19716.98,-35038.76,-13542.97,8584.929
2.05,22223.69,992.4166,26176.25,11277.64,-9723.958,-35532.79,15824.76,-9081.291,-19538.85,-17260.87,37386.52,-5548.586,-23286.11,-40518.64,-35963.28,-8298.038,-27427.43,-57086.66,-38981.39,10113.45,4708.214,22178.06,-22916.17,-28001.85,-2492.959,-22083.24,-14213.41,-25080.68,-13909.16,5356.65,-174.9349,-8232.728,26096.4,-14899.88,60318.49,-22258.64,34872.91,5480.182,-9796.743,4237.162,8169.532,41301.96,-31600.91,34770.12,-2551.827,-57598.1,-3582.477,10434.66,-12258.12,-4973.868,21365.14
2.1,28714.56,-10166.26,51210.81,29820.09,-12310.65,-38149.9,14963.03,-28823.17,-6324.952,-37323.61,28300.16,-2330.998,-17593.14,-17688.52,-14444.47,-705.0128,-1667.499,-36100.96,-44530.14,30714.05,1895.67,26437.26,5131.69,-27486.66,27391.92,5351.659,-5063.062,-19769.2,18620.21,29501.02,11368.67,-16392.49,20242.08,-14835.44,86652.88,5120.506,55849.82,6227.98,-1810.844,20705.7,14035.58,25865.68,-39785.9,52926.96,28199.89,-37025.39,25991,66511.1,24876.24,29202.3,41214.68
2.15,23495.04,11493.62,40227.21,22877.62,-27176.27,-14740.98,30052.92,-22025.13,-7181.846,-13289.88,23083.78,-14179.92,-11677.16,-17489.6,-15787.21,6365.491,-22389.96,-4281.897,-28959.5,11539.22,1036.347,17778.87,-2812.767,-16544.91,13062.7,-32041.24,13200.78,-33990.86,3397.008,4828.512,6138.709,15944.72,15250.49,-23000.88,71398.04,4589.078,34727.96,-1852.343,11259.24,29372.25,35200.09,27759.67,-31022.27,30202.84,3672.875,-18919.71,17677.61,50119.07,4811.359,8445.871,20640.68
2.2,31718.04,19415.48,39364.04,33407.74,-7124.14,4160.666,14861.74,-16622.93,-15148.89,-14106,39712.73,27006.19,-17226.1,-1642.923,-10091.86,-10924.97,-20570.99,-22003.39,-32924.27,9863.704,-22020.05,46456.35,4440.979,-17886.45,5740.084,-15393.82,10689.64,-26263.11,11195.05,-16721.49,5558.583,30005.29,29269.53,-32584.67,52650.27,-7230.162,37874.82,18504.83,12911.14,28301.32,39308.19,30144.3,-31597.36,37838.46,-5265.225,-15221.71,-626.033,53989.97,15507.8,26630.03,31881.71
